Municipality,Canton,Population,Area
Aadorf,TG,8838,19.93
Aarau,AG,21459,12.36
Aarberg,BE,4581,7.94
Aarburg,AG,8166,4.4
Aarwangen,BE,4514,9.87
Abtwil,AG,979,4.14
Aclens,VD,544,3.9
Acquarossa,TI,1850,61.77
Adelboden,BE,3371,87.64
Adligenswil,LU,5343,6.98
Adlikon,ZH,665,6.62
Adliswil,ZH,18803,7.78
Aedermannsdorf,SO,572,12.94
Aefligen,BE,1091,2.06
Aegerten,BE,2052,2.16
Aesch_BL,BL,10237,7.4
Aesch_LU,LU,1205,4.65
Aesch_ZH,ZH,1348,5.21
Aeschi_SO,SO,1221,5.41
Aeschi_bei_Spiez,BE,2285,30.93
Aeugst_am_Albis,ZH,1941,7.9
Affeltrangen,TG,2513,14.4
Affoltern_am_Albis,ZH,12146,10.53
Affoltern_im_Emmental,BE,1133,11.44
Agarn,VS,763,7.61
Agiez,VD,314,5.45
Agno,TI,4480,2.51
Aigle,VD,10131,16.5
Aire-la-Ville,GE,1169,2.88
Airolo,TI,1527,94.4
Alberswil,LU,655,3.56
Albinen,VS,243,15.56
Albula/Alvra,GR,1324,93.97
Alchenstorf,BE,579,6.61
Allaman,VD,438,2.59
Alle,JU,1832,10.65
Allmendingen,BE,579,3.77
Allschwil,BL,20913,8.91
Alpnach,OW,6024,53.83
Alpthal,SZ,613,22.94
Altbüron,LU,1025,6.72
Altdorf_UR,UR,9273,10.19
Altendorf,SZ,6926,20.48
Alterswil,FR,2029,16.15
Altikon,ZH,676,7.71
Altishofen,LU,1572,5.74
Altnau,TG,2161,6.71
Alto_Malcantone,TI,1405,22.06
Altstätten,SG,11549,39.56
Altwis,LU,438,2.93
Amden,SG,1784,43.04
Amlikon-Bissegg,TG,1301,14.43
Ammerswil,AG,695,3.2
Amriswil,TG,13293,18.99
Amsoldingen,BE,828,4.7
Andeer,GR,944,46.37
Andelfingen,ZH,2208,6.7
Andermatt,UR,1354,62.19
Andwil_SG,SG,1951,6.28
Anières,GE,2456,3.82
Anniviers,VS,2721,243.37
Anwil,BL,569,3.94
Appenzell,AI,5809,16.88
Apples,VD,1440,12.93
Aranno,TI,375,2.55
Arbaz,VS,1259,19.25
Arbedo-Castione,TI,5039,21.43
Arboldswil,BL,562,3.46
Arbon,TG,14256,6.01
Arch,BE,1573,6.4
Arconciel,FR,916,6.13
Ardon,VS,3137,20.34
Arisdorf,BL,1633,9.98
Aristau,AG,1496,8.7
Arlesheim,BL,9202,6.95
Arnex-sur-Nyon,VD,224,2.09
Arnex-sur-Orbe,VD,641,7.63
Arni_AG,AG,1845,3.46
Arni_BE,BE,935,10.38
Arogno,TI,1011,8.55
Arosa,GR,3185,154.72
Arth,SZ,11877,42
Arzier-Le_Muids,VD,2656,51.87
Ascona,TI,5534,4.94
Assens,VD,1069,5.31
Astano,TI,303,3.84
Attalens,FR,3427,9.81
Attinghausen,UR,1711,46.9
Attiswil,BE,1451,7.66
Au_SG,SG,7622,4.66
Aubonne,VD,3263,9.39
Auboranges,FR,285,1.93
Auenstein,AG,1586,5.71
Augst,BL,1011,1.62
Ausserberg,VS,623,15.02
Auswil,BE,447,4.56
Autigny,FR,793,6.2
Auw,AG,2161,8.55
Avegno_Gordevio,TI,1479,27.3
Avenches,VD,4208,19.43
Avers,GR,169,93.08
Avry,FR,1880,5.79
Avully,GE,1763,4.65
Avusy,GE,1434,5.17
Ayent,VS,3975,55.02
Baar,ZG,24322,24.77
Bachenbülach,ZH,4114,4.29
Bachs,ZH,593,9.18
Bad_Ragaz,SG,5923,25.43
Bad_Zurzach,AG,4327,6.55
Baden,AG,19339,13.19
Bagnes,VS,8100,284.14
Baldingen,AG,265,2.81
Balerna,TI,3345,2.53
Balgach,SG,4650,6.59
Ballaigues,VD,1092,9.1
Ballens,VD,524,8.41
Ballwil,LU,2786,8.75
Balm_bei_Günsberg,SO,204,5.47
Balsthal,SO,6094,15.72
Baltschieder,VS,1324,31.32
Bannwil,BE,681,4.73
Bardonnex,GE,2215,5.02
Bäretswil,ZH,5038,22.2
Bargen_BE,BE,1009,7.86
Bargen_SH,SH,306,8.27
Bäriswil,BE,1065,2.77
Bärschwil,SO,816,11.16
Basadingen-Schlattingen,TG,1811,15.63
Basel,BS,171513,23.89
Bas-Intyamon,FR,1387,33.26
Basse-Allaine,JU,1212,23
Bassersdorf,ZH,11655,8.99
Bassins,VD,1351,20.85
Bätterkinden,BE,3246,10.13
Bättwil,SO,1172,1.7
Bauen,UR,168,3.82
Baulmes,VD,1056,22.52
Bauma,ZH,4939,29.51
Bavois,VD,926,9.3
Beatenberg,BE,1208,29.2
Beckenried,NW,3654,24.27
Bedano,TI,1542,1.89
Bedigliora,TI,634,2.52
Bedretto,TI,109,75.23
Beggingen,SH,486,12.64
Begnins,VD,1910,4.8
Beinwil_Freiamt,AG,1140,11.34
Beinwil_SO,SO,277,22.68
Beinwil_am_See,AG,3254,3.82
Belfaux,FR,3338,8.91
Bellach,SO,5272,5.32
Bellevue,GE,3322,4.38
Bellikon,AG,1560,4.9
Bellinzona,TI,43181,164.09
Bellmund,BE,1647,3.82
Bellwald,VS,389,13.97
Belmont-Broye,FR,5425,25.82
Belmont-sur-Lausanne,VD,3655,2.61
Belmont-sur-Yverdon,VD,378,6.5
Belp,BE,11439,23.3
Belprahon,BE,298,3.82
Benken_SG,SG,3015,16.47
Benken_ZH,ZH,858,5.67
Bennwil,BL,665,6.6
Bercher,VD,1217,4.24
Berg_SG,SG,823,3.78
Berg_TG,TG,3301,13.19
Berg_am_Irchel,ZH,564,7.03
Bergdietikon,AG,2828,6.06
Bergün_Filisur,GR,961,190.14
Berikon,AG,4779,5.39
Beringen,SH,4643,18.65
Berken,BE,43,1.4
Berlingen,TG,887,3.57
Bern,BE,133798,51.61
Berneck,SG,3956,5.6
Bernex,GE,10007,12.97
Berolle,VD,301,9.63
Beromünster,LU,6478,42.18
Besenbüren,AG,626,2.34
Bettenhausen,BE,637,3.96
Bettens,VD,571,3.76
Bettingen,BS,1151,2.2
Bettlach,SO,4940,12.18
Bettmeralp,VS,449,28.79
Bettwiesen,TG,1172,3.88
Bettwil,AG,626,4.28
Beurnevésin,JU,119,5.1
Bever,GR,598,45.66
Bex,VD,7747,96.63
Biasca,TI,6126,59.03
Biberist,SO,8455,12.17
Biberstein,AG,1568,4.1
Bichelsee-Balterswil,TG,2820,12.12
Biel/Bienne,BE,54640,21.2
Biel-Benken,BL,3427,4.12
Bière,VD,1572,25.03
Biezwil,SO,323,4.15
Biglen,BE,1814,3.58
Billens-Hennens,FR,757,4.9
Binn,VS,140,65.09
Binningen,BL,15580,4.48
Bioggio,TI,2647,6.45
Bioley-Magnoux,VD,225,4.31
Bioley-Orjulaz,VD,491,3.09
Birmensdorf_ZH,ZH,6414,11.42
Birmenstorf_AG,AG,2990,7.76
Birr,AG,4357,5.05
Birrhard,AG,730,3
Birrwil,AG,1170,3.45
Birsfelden,BL,10410,2.58
Birwinken,TG,1337,12.26
Bischofszell,TG,5923,11.61
Bissone,TI,926,1.86
Bister,VS,32,5.8
Bitsch,VS,976,5.86
Blatten,VS,294,90.54
Blauen,BL,691,7.09
Bleienbach,BE,697,5.67
Blenio,TI,1826,202.17
Blonay,VD,6190,16.07
Blumenstein,BE,1227,15.5
Böbikon,AG,176,2.63
Böckten,BL,804,2.27
Bodio,TI,1031,6.43
Boécourt,JU,915,12.32
Bofflens,VD,192,4.17
Bogis-Bossey,VD,910,2.43
Bolken,SO,595,2.13
Bolligen,BE,6260,16.59
Boltigen,BE,1270,77.08
Bonaduz,GR,3294,14.45
Boncourt,JU,1211,9.02
Bonfol,JU,662,13.61
Bönigen,BE,2512,15.08
Boningen,SO,755,2.8
Boniswil,AG,1424,2.37
Bonstetten,ZH,5512,7.44
Bonvillars,VD,497,7.49
Boppelsen,ZH,1373,3.94
Borex,VD,1129,1.96
Bosco/Gurin,TI,50,22.02
Bösingen,FR,3430,14.32
Bossonnens,FR,1483,4.1
Boswil,AG,2840,11.76
Bottens,VD,1262,6.94
Bottenwil,AG,792,5.05
Botterens,FR,568,4.24
Bottighofen,TG,2180,2.43
Bottmingen,BL,6593,2.98
Böttstein,AG,3949,7.45
Boudry,NE,6124,16.76
Bougy-Villars,VD,481,1.78
Boulens,VD,378,3.42
Bourg-en-Lavaux,VD,5285,9.68
Bourg-Saint-Pierre,VS,181,89.81
Bournens,VD,417,3.89
Bourrignon,JU,261,13.53
Boussens,VD,982,3.18
Bovernier,VS,911,13.11
Bowil,BE,1360,14.7
Bözberg,AG,1594,15.56
Bözen,AG,749,3.94
Braunau,TG,765,9.16
Bregaglia,GR,1531,251.35
Breggia,TI,2033,25.58
Breil/Brigels,GR,1784,96.58
Breitenbach,SO,3848,6.84
Bremblens,VD,547,2.94
Bremgarten_AG,AG,7944,11.31
Bremgarten_bei_Bern,BE,4420,1.88
Brenzikofen,BE,488,2.2
Bretigny-sur-Morrens,VD,823,2.84
Bretonnières,VD,262,5.53
Bretzwil,BL,780,7.38
Brienz_BE,BE,3120,48.09
Brienzwiler,BE,494,17.63
Brig-Glis,VS,13109,37.68
Brione_Verzasca,TI,190,48.52
Brione_sopra_Minusio,TI,488,3.79
Brislach,BL,1643,9.41
Brissago,TI,1758,17.78
Brittnau,AG,3957,13.65
Broc,FR,2652,10.06
Brot-Plamboz,NE,263,16.16
Brugg,AG,11134,6.34
Brügg,BE,4287,5.02
Brunegg,AG,845,1.51
Brünisried,FR,658,3.27
Brusino_Arsizio,TI,485,4.18
Brusio,GR,1135,46.25
Brüttelen,BE,587,6.62
Brütten,ZH,2022,6.65
Bubendorf,BL,4339,10.85
Bubikon,ZH,7200,11.61
Buch_SH,SH,318,3.81
Buch_am_Irchel,ZH,971,10.16
Buchberg,SH,867,5.85
Buchegg,SO,2545,22.71
Buchholterberg,BE,1552,15.28
Buchillon,VD,641,2.13
Buchrain,LU,6116,4.79
Buchs_AG,AG,7950,5.32
Buchs_SG,SG,12612,15.94
Buchs_ZH,ZH,6315,5.87
Buckten,BL,694,2.02
Büetigen,BE,860,3.61
Bühl,BE,448,2.96
Bühler,AR,1766,5.59
Bülach,ZH,19888,16.06
Bulle,FR,22709,23.86
Bullet,VD,644,16.9
Bünzen,AG,1089,5.78
Buochs,NW,5409,9.92
Bürchen,VS,715,13.39
Bure,JU,659,13.71
Büren_SO,SO,1042,6.22
Büren_an_der_Aare,BE,3610,12.63
Burg_AG,AG,1023,0.92
Burg_im_Leimental,BL,262,2.88
Burgdorf,BE,16280,15.6
Burgistein,BE,1092,7.52
Bürglen_TG,TG,3741,11.72
Bürglen_UR,UR,3982,53.1
Büron,LU,2444,5.36
Bursinel,VD,487,1.8
Bursins,VD,738,3.4
Burtigny,VD,359,5.69
Buseno,GR,83,11.25
Büsserach,SO,2292,7.54
Bussigny,VD,8645,4.78
Bussnang,TG,2261,18.91
Busswil_bei_Melchnau,BE,188,2.88
Bussy-Chardonney,VD,374,3.04
Bussy-sur-Moudon,VD,208,3.13
Bütschwil-Ganterschwil,SG,4729,21.85
Büttenhardt,SH,389,4.01
Büttikon,AG,993,2.82
Buttisholz,LU,3287,16.68
Buttwil,AG,1229,4.56
Buus,BL,1035,8.86
Cademario,TI,796,3.94
Cadempino,TI,1507,0.77
Cadenazzo,TI,2932,8.4
Calanca,GR,195,37.67
Cama,GR,564,15.05
Campo_Vallemaggia,TI,53,43.41
Canobbio,TI,2116,1.25
Capriasca,TI,6660,36.27
Carouge_GE,GE,22336,2.65
Cartigny,GE,956,4.41
Caslano,TI,4330,2.8
Castaneda,GR,277,3.94
Castel_San_Pietro,TI,2130,11.79
Casti-Wergenstein,GR,55,25.59
Cazis,GR,2174,31.2
Celerina/Schlarigna,GR,1506,24.05
Céligny,GE,787,4.67
Centovalli,TI,1151,53.49
Cerentino,TI,49,20.1
Cevio,TI,1177,151.32
Chalais,VS,3528,24.37
Cham,ZG,16571,17.76
Chamblon,VD,533,2.86
Chamoson,VS,3787,32.47
Champagne,VD,1027,3.91
Champéry,VS,1342,38.92
Champoz,BE,168,7.16
Champtauroz,VD,128,3.03
Champvent,VD,674,8.98
Chancy,GE,1691,5.38
Chapelle_Glâne,FR,278,2.01
Chardonne,VD,2914,10.28
Charrat,VS,1799,7.59
Château-d'Oex,VD,3433,113.58
Châtel-Saint-Denis,FR,6723,47.89
Châtel-sur-Montsalvens,FR,285,2
Châtillon_FR,FR,462,1.31
Châtillon_JU,JU,481,5.27
Châtonnaye,FR,825,6.32
Chavannes-de-Bogis,VD,1306,2.87
Chavannes-des-Bois,VD,962,2.13
Chavannes-le-Chêne,VD,298,4
Chavannes-le-Veyron,VD,141,2.66
Chavannes-près-Renens,VD,7649,1.66
Chavannes-sur-Moudon,VD,220,5.15
Chavornay,VD,4903,19.24
Cheiry,FR,412,6.45
Chêne-Bougeries,GE,11862,4.14
Chêne-Bourg,GE,8708,1.26
Chénens,FR,858,3.94
Chêne-Pâquier,VD,138,2.08
Cheseaux-Noréaz,VD,703,5.94
Cheseaux-sur-Lausanne,VD,4357,4.56
Chéserex,VD,1220,10.55
Chessel,VD,402,3.53
Chevilly,VD,298,3.82
Chevroux,VD,469,3.42
Chexbres,VD,2255,2.2
Cheyres-Châbles,FR,2278,9.71
Chiasso,TI,8182,5.3
Chigny,VD,338,0.87
Chippis,VS,1580,1.98
Choulex,GE,1149,3.91
Chur,GR,35038,28
Churwalden,GR,2012,48.57
Clarmont,VD,189,1.01
Clavaleyres,BE,46,1
Clos_du_Doubs,JU,1303,61.77
Coeuve,JU,733,11.57
Coinsins,VD,483,2.95
Coldrerio,TI,2927,2.48
Collex-Bossy,GE,1687,6.86
Collina_d'Oro,TI,4911,6.19
Collombey-Muraz,VS,9018,29.74
Collonge-Bellerive,GE,8126,6.15
Collonges,VS,780,12.22
Cologny,GE,5531,3.68
Comano,TI,2032,2.04
Commugny,VD,2848,6.53
Concise,VD,970,11.38
Confignon,GE,4618,2.76
Conters_im_Prättigau,GR,225,18.4
Conthey,VS,8691,85.01
Coppet,VD,3152,1.85
Corbeyrier,VD,437,22.03
Corbières,FR,877,9.69
Corcelles_BE,BE,201,6.79
Corcelles-Cormondrèche,NE,4740,4.84
Corcelles-le-Jorat,VD,458,7.94
Corcelles-près-Concise,VD,377,4.06
Corcelles-près-Payerne,VD,2443,12.14
Corgémont,BE,1668,17.65
Corippo,TI,12,7.7
Corminboeuf,FR,2563,7.24
Cormoret,BE,486,13.52
Cornaux,NE,1586,4.71
Cornol,JU,1018,10.47
Corseaux,VD,2278,1.07
Corserey,FR,422,3.41
Corsier_GE,GE,2071,2.8
Corsier-sur-Vevey,VD,3401,6.73
Cortaillod,NE,4774,3.65
Cortébert,BE,705,14.82
Cossonay,VD,3813,8.23
Cottens_FR,FR,1497,4.98
Cottens_VD,VD,478,2.42
Courchapoix,JU,430,6.43
Courchavon,JU,293,6.24
Courgenay,JU,2302,18.44
Courgevaux,FR,1424,3.38
Courrendlin,JU,3448,21.53
Courroux,JU,3265,19.75
Court,BE,1427,24.56
Courtedoux,JU,782,8.14
Courtelary,BE,1391,22.11
Courtepin,FR,5416,17.8
Courtételle,JU,2582,13.57
Crans-Montana,VS,10565,59.59
Crans-près-Céligny,VD,2182,4.3
Crassier,VD,1153,2.02
Crémines,BE,519,9.46
Cressier_FR,FR,957,4.18
Cressier_NE,NE,1873,8.61
Crésuz,FR,342,1.8
Crissier,VD,8037,5.5
Croglio,TI,854,4.41
Cronay,VD,380,6.58
Croy,VD,379,4.5
Cuarnens,VD,479,7.06
Cuarny,VD,240,4.62
Cudrefin,VD,1589,15.58
Cugnasco-Gerra,TI,2877,35.77
Cugy_FR,FR,1729,9.9
Cugy_VD,VD,2735,2.9
Cureglia,TI,1387,1.1
Curio,TI,544,2.77
Curtilles,VD,318,4.97
Dachsen,ZH,1936,2.65
Dägerlen,ZH,1015,7.96
Dagmersellen,LU,5369,23.9
Daillens,VD,999,5.49
Dallenwil,NW,1814,15.52
Dällikon,ZH,4118,4.49
Dalpe,TI,186,14.52
Damphreux,JU,184,5.66
Däniken,SO,2784,5.46
Dänikon,ZH,1879,2.81
Dardagny,GE,1861,8.6
Därligen,BE,429,6.92
Därstetten,BE,862,32.85
Dättlikon,ZH,782,2.91
Davos,GR,10937,283.99
Degersheim,SG,4038,14.45
Deisswil_bei_Münchenbuchsee,BE,74,2.14
Deitingen,SO,2237,7.55
Delémont,JU,12625,22.01
Delley-Portalban,FR,1107,6.85
Démoret,VD,146,4.29
Denens,VD,774,3.29
Denges,VD,1617,1.69
Densbüren,AG,733,12.64
Derendingen,SO,6430,5.68
Develier,JU,1385,12.42
Diegten,BL,1656,9.61
Dielsdorf,ZH,5966,5.88
Diemerswil,BE,202,2.82
Diemtigen,BE,2200,130
Diepflingen,BL,738,1.43
Diepoldsau,SG,6502,11.19
Dierikon,LU,1503,2.77
Diessbach_bei_Büren,BE,990,6.31
Diessenhofen,TG,3745,10
Dietikon,ZH,27079,9.28
Dietlikon,ZH,7702,4.24
Dietwil,AG,1337,5.55
Dinhard,ZH,1557,7.07
Dintikon,AG,2235,3.72
Disentis/Mustér,GR,2092,91.05
Dittingen,BL,730,6.73
Dizy,VD,229,3.07
Domat/Ems,GR,8070,24.24
Domleschg,GR,1991,45.96
Dompierre_VD,VD,259,3.25
Donat,GR,211,4.66
Donneloye,VD,809,8.97
Doppleschwand,LU,786,6.95
Dorénaz,VS,930,12.54
Dorf,ZH,687,5.54
Dörflingen,SH,1027,5.78
Dornach,SO,6686,5.74
Dottikon,AG,3880,3.91
Döttingen,AG,4054,6.96
Dotzigen,BE,1492,4.23
Dozwil,TG,727,1.27
Drei_Höfe,SO,734,4.57
Dübendorf,ZH,28141,13.62
Düdingen,FR,7823,30.76
Duggingen,BL,1568,5.91
Duillier,VD,1080,4.05
Dulliken,SO,4964,6.01
Dully,VD,639,1.64
Dürnten,ZH,7570,10.21
Dürrenäsch,AG,1252,5.9
Dürrenroth,BE,1062,14.06
Ebersecken,LU,386,8.59
Ebikon,LU,13531,9.72
Ebnat-Kappel,SG,5012,43.51
Echallens,VD,5732,6.69
Echandens,VD,2762,3.87
Echarlens,FR,804,4.62
Echichens,VD,2706,13.27
Eclépens,VD,1093,5.82
Ecublens_FR,FR,344,4.86
Ecublens_VD,VD,12488,5.73
Ederswiler,JU,120,3.34
Effingen,AG,594,6.84
Egerkingen,SO,3520,6.93
Egg,ZH,8452,14.51
Eggenwil,AG,1053,2.52
Eggerberg,VS,340,6.09
Eggersriet,SG,2275,8.91
Eggiwil,BE,2455,60.25
Eglisau,ZH,5188,9.1
Egliswil,AG,1452,6.34
Egnach,TG,4681,18.48
Egolzwil,LU,1483,4.15
Ehrendingen,AG,4830,7.28
Eich,LU,1632,5.91
Eichberg,SG,1521,5.5
Eiken,AG,2298,7.01
Einsiedeln,SZ,15550,99
Eischoll,VS,438,14.06
Eisten,VS,197,37.94
Elfingen,AG,300,4.21
Elgg,ZH,4425,24.38
Ellikon_an_der_Thur,ZH,902,4.97
Elsau,ZH,3631,8.04
Embd,VS,301,13.36
Embrach,ZH,9432,12.72
Emmen,LU,30682,20.38
Emmetten,NW,1401,25.05
Endingen,AG,2530,11.85
Engelberg,OW,4155,74.89
Enges,NE,274,9.56
Ennetbaden,AG,3510,2.13
Ennetbürgen,NW,4698,9.4
Ennetmoos,NW,2147,14.09
Entlebuch,LU,3315,56.97
Epalinges,VD,9333,4.61
Ependes_FR,FR,1111,5.61
Ependes_VD,VD,361,4.8
Eppenberg-Wöschnau,SO,330,1.81
Epsach,BE,323,3.39
Eptingen,BL,530,11.21
Ergisch,VS,188,29.52
Eriswil,BE,1399,11.3
Eriz,BE,490,21.79
Erlach,BE,1427,3.44
Erlen,TG,3636,12.23
Erlenbach_ZH,ZH,5576,2.97
Erlenbach_im_Simmental,BE,1733,36.67
Erlinsbach_AG,AG,4195,9.87
Erlinsbach_SO,SO,3524,8.85
Ermatingen,TG,3202,10.42
Ermensee,LU,984,5.72
Ernen,VS,501,35.36
Erschwil,SO,920,7.47
Ersigen,BE,2068,15.46
Erstfeld,UR,3781,59.05
Eschenbach_LU,LU,3589,13.2
Eschenbach_SG,SG,9477,54.92
Eschenz,TG,1721,12.02
Eschert,BE,389,6.58
Eschlikon,TG,4296,6.2
Escholzmatt-Marbach,LU,4358,106.34
Essertes,VD,347,1.66
Essertines-sur-Rolle,VD,691,7.01
Essertines-sur-Yverdon,VD,981,9.76
Estavayer,FR,9494,44.89
Etagnières,VD,1117,3.76
Etoy,VD,2919,4.92
Ettingen,BL,5156,6.37
Ettiswil,LU,2691,12.52
Etziken,SO,869,3.37
Evilard,BE,2638,3.67
Evionnaz,VS,1260,48.07
Evolène,VS,1701,209.83
Eysins,VD,1601,2.36
Fahrni,BE,788,6.66
Fahrwangen,AG,2133,3.98
Fahy,JU,361,7.76
Faido,TI,2949,132.44
Falera,GR,623,22.35
Fällanden,ZH,8606,6.36
Faoug,VD,895,3.49
Farnern,BE,205,3.65
Féchy,VD,896,2.69
Fehraltorf,ZH,6416,9.5
Fehren,SO,589,1.48
Felben-Wellhausen,TG,2743,7.38
Feldbrunnen-St._Niklaus,SO,975,2.5
Felsberg,GR,2569,13.39
Ferden,VS,251,27.9
Ferenbalm,BE,1241,9.16
Ferpicloz,FR,283,1.02
Ferrera,GR,76,75.44
Ferreyres,VD,321,3.19
Fétigny,FR,1044,4.07
Feuerthalen,ZH,3641,2.5
Feusisberg,SZ,5272,17.49
Fey,VD,703,7.43
Fideris,GR,598,25.33
Fiesch,VS,918,11.04
Fieschertal,VS,334,172.79
Fiez,VD,425,6.81
Finhaut,VS,387,22.8
Finsterhennen,BE,560,3.57
Fischbach,LU,706,8.04
Fischbach-Göslikon,AG,1641,3.09
Fischenthal,ZH,2512,30.17
Fischingen,TG,2680,30.66
Fisibach,AG,510,5.72
Fislisbach,AG,5547,5.12
Flaach,ZH,1390,10.2
Fläsch,GR,774,19.95
Flawil,SG,10551,11.48
Flerden,GR,254,6.07
Flims,GR,2825,50.46
Flüelen,UR,1975,12.41
Flühli,LU,1956,108.09
Flumenthal,SO,947,3.08
Flums,SG,4941,75.18
Flurlingen,ZH,1440,2.41
Fontaines-sur-Grandson,VD,210,7.93
Fontenais,JU,1678,19.97
Forel_Lavaux,VD,2083,18.48
Forst-Längenbühl,BE,778,4.53
Founex,VD,3796,4.78
Fräschels,FR,467,3.14
Frasco,TI,107,25.95
Fraubrunnen,BE,5037,31.97
Frauenfeld,TG,25058,27.38
Frauenkappelen,BE,1235,9.28
Freienbach,SZ,16269,13.82
Freienstein-Teufen,ZH,2376,8.34
Freienwil,AG,1053,4
Freimettigen,BE,473,2.96
Frenkendorf,BL,6471,4.61
Fribourg,FR,38521,9.33
Frick,AG,5489,9.97
Froideville,VD,2557,7.02
Frutigen,BE,6917,72.3
Fulenbach,SO,1776,4.47
Füllinsdorf,BL,4472,4.63
Full-Reuenthal,AG,889,4.86
Fully,VS,8737,37.85
Furna,GR,213,33.25
Fürstenau,GR,349,1.3
Gächlingen,SH,864,7.21
Gachnang,TG,4211,9.83
Gais,AR,3096,21.21
Gaiserwald,SG,8368,12.64
Galgenen,SZ,5231,13.22
Galmiz,FR,672,8.99
Gals,BE,800,7.9
Gambarogno,TI,5137,51.71
Gampel-Bratsch,VS,1964,23.05
Gampelen,BE,973,10.56
Gams,SG,3404,22.28
Gänsbrunnen,SO,89,11.43
Gansingen,AG,1036,8.78
Gebenstorf,AG,5411,5.68
Gelterkinden,BL,6095,9.77
Geltwil,AG,216,3.27
Gempen,SO,880,5.97
Gempenach,FR,291,1.64
Genève,GE,200548,15.89
Genolier,VD,1937,4.85
Genthod,GE,2779,2.81
Gerlafingen,SO,5118,1.89
Geroldswil,ZH,4943,1.9
Gersau,SZ,2279,14.36
Gerzensee,BE,1194,7.81
Gettnau,LU,1151,6.05
Geuensee,LU,2911,6.43
Gibloux,FR,7306,36.12
Giebenach,BL,1031,1.33
Giez,VD,421,4.77
Giffers,FR,1606,5.21
Gilly,VD,1309,7.74
Gimel,VD,2016,18.91
Gingins,VD,1210,12.6
Giornico,TI,873,19.55
Gipf-Oberfrick,AG,3542,10.18
Gisikon,LU,1331,1.1
Giswil,OW,3651,85.9
Givisiez,FR,3199,3.47
Givrins,VD,989,3.94
Gland,VD,13078,8.37
Glarus,GL,12521,103.58
Glarus_Nord,GL,18247,147.07
Glarus_Süd,GL,9581,430.06
Glattfelden,ZH,5190,12.28
Gletterens,FR,1051,2.59
Goldach,SG,9048,4.74
